year,Plan,State,Private Equity,Real Estate,Hedge Funds,Commodities,Other Alternatives,Total Equity,Fixed Income,Cash Equivalents
2001,South Carolina Retirement Systems,South Carolina,0,0,0,0,0,0.2228,0.7772,0
2002,South Carolina Retirement Systems,South Carolina,0,0,0,0,0,0.2681,0.7319,0
2003,South Carolina Retirement Systems,South Carolina,0,0,0,0,0,0.3522,0.6478,0
2004,South Carolina Retirement Systems,South Carolina,0,0,0,0,0,0.4275,0.5725,0
2005,South Carolina Retirement Systems,South Carolina,0,0,0,0,0,0.4179,0.57046,0.01164
2006,South Carolina Retirement Systems,South Carolina,0,0,0,0,0,0.4926,0.49725,0.01015
2007,South Carolina Retirement Systems,South Carolina,0,0,0,0,0,0.5,0.5,0
2008,South Carolina Retirement Systems,South Carolina,0.01,0,0.087,0,0,0.479,0.416,0.008
2009,South Carolina Retirement Systems,South Carolina,0.0254,0.0063,0.161,0,0,0.3284,0.3479,0.131
2010,South Carolina Retirement Systems,South Carolina,0.043,0.006,0.262,0,0,0.273,0.274,0.142
2011,South Carolina Retirement Systems,South Carolina,0.071,0.008,0.281,0.019,0,0.324,0.224,0.073
2012,South Carolina Retirement Systems,South Carolina,0.091,0.025,0.279,0.027,0,0.243,0.18,0.155
2013,South Carolina Retirement Systems,South Carolina,0.0958,0.0369,0.2181,0.027,0,0.2825,0.2331,0.1066
2014,South Carolina Retirement Systems,South Carolina,0.146,0.036,0.254,0.021,0,0.308,0.166,0.067
2015,South Carolina Retirement Systems,South Carolina,0.1451,0.0396,0.2676,0.0297,0,0.323,0.1593,0.0357
2016,South Carolina Retirement Systems,South Carolina,0.1548,0.0706,0.256,0.0417,0,0.3172,0.1387,0.021
2017,South Carolina Retirement Systems,South Carolina,0.1353,0.0717,0.2045,0.0139,0.0523,0.3508,0.152,0.0195
2018,South Carolina Retirement Systems,South Carolina,0.1334,0.0846,0.1688,0.0196,0.0695,0.3634,0.1508,0.0089
2019,South Carolina Retirement Systems,South Carolina,0.1343,0.0889,0.1642,0.0296,0,0.3726,0.1476,0.0628
2020,South Carolina Retirement Systems,South Carolina,0.1382,0.0783,0.1092,0.0107,0,0.4295,0.118,0.1161
2021,South Carolina Retirement Systems,South Carolina,0.1824,0.0788,0.117,0.0174,0,0.4888,0.0778,0.0378
